Coordinate { x: 0.049804800134716325, y: 0.0005854728650173823 }
Coordinate { x: 0.0992300412222363, y: 0.0011567983029958941 }
Coordinate { x: 0.14828135336780246, y: 0.0017141133987048586 }
Coordinate { x: 0.19696424232098186, y: 0.002257552209062601 }
Coordinate { x: 0.24528409311090338, y: 0.0027872458516540704 }
Coordinate { x: 0.2932461735496217, y: 0.0033033225900374885 }
Coordinate { x: 0.3408556376093074, y: 0.003805907915978786 }
Coordinate { x: 0.38811752867867727, y: 0.00429512462874567 }
Coordinate { x: 0.43503678270380886, y: 0.00477109291158658 }
Coordinate { x: 0.481618231218232, y: 0.005233930405513636 }
Coordinate { x: 0.527866604266947, y: 0.005683752280502833 }
Coordinate { x: 0.5737865332287948, y: 0.006120671304219212 }
Coordinate { x: 0.6193825535413912, y: 0.006544797908369557 }
Coordinate { x: 0.6646591073326319, y: 0.006956240252780231 }
Coordinate { x: 0.7096205459625889, y: 0.007355104287293092 }
Coordinate { x: 0.754271132479433, y: 0.007741493811568081 }
Coordinate { x: 0.7986150439928488, y: 0.008115510532876834 }
Coordinate { x: 0.8426563739682476, y: 0.008477254121967804 }
Coordinate { x: 0.8863991344449274, y: 0.00882682226707959 }
Coordinate { x: 0.9298472581811855, y: 0.009164310726175648 }
Coordinate { x: 0.9730046007292528, y: 0.00948981337747024 }
Coordinate { x: 1.0158749424427849, y: 0.009803422268312231 }
Coordinate { x: 1.058461990419526, y: 0.010105227662490397 }
Coordinate { x: 1.1007693803816399, y: 0.010395318086021028 }
Coordinate { x: 1.1428006784960927, y: 0.01067378037147586 }
Coordinate { x: 1.1845593831373684, y: 0.01094069970090586 }
Coordinate { x: 1.2260489265946926, y: 0.011196159647413889 }
Coordinate { x: 1.26727267672585, y: 0.011440242215426973 }
Coordinate { x: 1.3082339385595874, y: 0.011673027879716684 }
Coordinate { x: 1.3489359558485075, y: 0.011894595623214066 }
Coordinate { x: 1.3893819125742792, y: 0.012105022973663506 }
Coordinate { x: 1.42957493440691, y: 0.012304386039158078 }
Coordinate { x: 1.469518090119752, y: 0.012492759542597095 }
Coordinate { x: 1.5092143929618447, y: 0.012670216855104824 }
Coordinate { x: 1.5486668019891285, y: 0.012836830028447776 }
Coordinate { x: 1.5878782233559976, y: 0.012992669826486336 }
Coordinate { x: 1.626851511568604, y: 0.013137805755695064 }
Coordinate { x: 1.665589470701263, y: 0.013272306094784579 }
Coordinate { x: 1.7040948555772566, y: 0.013396237923456561 }
Coordinate { x: 1.7423703729152757, y: 0.013509667150322173 }
Coordinate { x: 1.7804186824426989, y: 0.013612658540012904 }
Coordinate { x: 1.8182423979768456, y: 0.013705275739511755 }
Coordinate { x: 1.8558440884753107, y: 0.01378758130373149 }
Coordinate { x: 1.8932262790564278, y: 0.013859636720365658 }
Coordinate { x: 1.9303914519908807, y: 0.013921502434037065 }
Coordinate { x: 1.9673420476654335, y: 0.013973237869767407 }
Coordinate { x: 2.0040804655197153, y: 0.014014901455790808 }
Coordinate { x: 2.0406090649569593, y: 0.014046550645733204 }
Coordinate { x: 2.0769301662295585, y: 0.014068241940178576 }
Coordinate { x: 2.113046051300273, y: 0.014080030907642274 }
Coordinate { x: 2.1489589646798835, y: 0.014081972204970903 }
Coordinate { x: 2.18467111424206, y: 0.014074119597187476 }
Coordinate { x: 2.2201846720161926, y: 0.014056525976799844 }
Coordinate { x: 2.255501774958883, y: 0.014029243382589734 }
Coordinate { x: 2.290624525704796, y: 0.01399232301789908 }
Coordinate { x: 2.325554993297518, y: 0.013945815268429702 }
Coordinate { x: 2.3602952139010682, y: 0.013889769719571789 }
Coordinate { x: 2.394847191492666, y: 0.013824235173276099 }
Coordinate { x: 2.4292128985373482, y: 0.013749259664484204 }
Coordinate { x: 2.463394276645003, y: 0.013664890477130614 }
Coordinate { x: 2.497393237210366, y: 0.0135711741597301 }
Coordinate { x: 2.5312116620365113, y: 0.013468156540563056 }
Coordinate { x: 2.5648514039423342, y: 0.013355882742471271 }
Coordinate { x: 2.598314287354533, y: 0.01323439719727607 }
Coordinate { x: 2.6316021088845445, y: 0.013103743659830313 }
Coordinate { x: 2.664716637890905, y: 0.012963965221715366 }
Coordinate { x: 2.697659617027464, y: 0.01281510432459377 }
Coordinate { x: 2.730432762777885, y: 0.012657202773227917 }
Coordinate { x: 2.7630377659768364, y: 0.012490301748174745 }
Coordinate { x: 2.795476292318274, y: 0.012314441818166063 }
Coordinate { x: 2.82774998285119, y: 0.01212966295218381 }
Coordinate { x: 2.8598604544632056, y: 0.011936004531239233 }
Coordinate { x: 2.8918093003523535, y: 0.011733505359864655 }
Coordinate { x: 2.9235980904874066, y: 0.011522203677326212 }
Coordinate { x: 2.9552283720570727, y: 0.01130213716856565 }
Coordinate { x: 2.986701669908386, y: 0.011073342974879009 }
Coordinate { x: 3.018019486974602, y: 0.010835857704339761 }
Coordinate { x: 3.049183304692895, y: 0.010589717441973687 }
Coordinate { x: 3.080194583412149, y: 0.01033495775969259 }
Coordinate { x: 3.111054762791127, y: 0.010071613725993646 }
Coordinate { x: 3.141765262187282, y: 0.009799719915431021 }
Coordinate { x: 3.1723274810364797, y: 0.009519310417866135 }
Coordinate { x: 3.202742799223881, y: 0.00923041884750276 }
Coordinate { x: 3.233012577446234, y: 0.008933078351712927 }
Coordinate { x: 3.2631381575658116, y: 0.008627321619659442 }
Coordinate { x: 3.2931208629562256, y: 0.008313180890720605 }
Coordinate { x: 3.322961998840338, y: 0.007990687962722561 }
Coordinate { x: 3.3526628526204867, y: 0.007659874199984529 }
